num,session,code,sequence,date,scanner,dictionary,map,array,sphere,sphere_name_sh,NIST_name,long_name,conc,area,ref,ref_sd,temp_coef,tc_mean,tc_rd,mean,stdv,min,max,temp
85,6,PH046,MRF,31/01/2020,PRISMA,MRF 1500,T1,T2a,S5,S5_T2a,MnCl2-5,S1500T1MnCl2-5,0.0626,80,1510.76,37.77,38.33,1283.52,-15.04130681,1334.5,38.316,1240,1440,21.33
86,6,PH046,MRF,31/01/2020,PRISMA,MRF 1500,T1,T2a,S6,S6_T2a,MnCl2-6,S1500T1MnCl2-6,0.0934,80,1026.43,25.66,30.39,979.09,-4.61251912,1019.5,31.337,960,1080,21.33
87,6,PH046,MRF,31/01/2020,PRISMA,MRF 1500,T1,T2a,S7,S7_T2a,MnCl2-7,S1500T1MnCl2-7,0.1353,80,805.1,20.13,21.33,711.14,-11.67092065,739.5,29.161,680,840,21.33
88,6,PH046,MRF,31/01/2020,PRISMA,MRF 1500,T1,T2a,S8,S8_T2a,MnCl2-8,S1500T1MnCl2-8,0.193,80,599.96,15,16.08,534.61,-10.89206469,556,15.719,520,600,21.33
89,6,PH046,MRF,31/01/2020,PRISMA,MRF 3000,T1,T2a,S1,S1_T2a,MnCl2-1,S3000T1MnCl2-1,0.0108,80,3025.17,75.63,66.54,2424,-19.87231039,2512.5,58.19,2450,2650,21.33
90,6,PH046,MRF,31/01/2020,PRISMA,MRF 3000,T1,T2a,S2,S2_T2a,MnCl2-2,S3000T1MnCl2-2,0.0181,80,2185.54,54.64,59.2,2113.76,-3.284199526,2192.5,54.599,2050,2350,21.33
91,6,PH046,MRF,31/01/2020,PRISMA,MRF 3000,T1,T2a,S3,S3_T2a,MnCl2-3,S3000T1MnCl2-3,0.0282,80,1901.28,47.53,50.23,1822.2,-4.159359929,1889,59.013,1760,2000,21.33
92,6,PH046,MRF,31/01/2020,PRISMA,MRF 3000,T1,T2a,S4,S4_T2a,MnCl2-4,S3000T1MnCl2-4,0.0434,80,1549.98,38.75,41.93,1487.73,-4.016266636,1543.5,43.49,1440,1640,21.33
93,6,PH046,MRF,31/01/2020,PRISMA,MRF 3000,T1,T2a,S5,S5_T2a,MnCl2-5,S3000T1MnCl2-5,0.0626,80,1510.76,37.77,36.34,1245.16,-17.58028879,1293.5,40.224,1200,1400,21.33
94,6,PH046,MRF,31/01/2020,PRISMA,MRF 3000,T1,T2a,S6,S6_T2a,MnCl2-6,S3000T1MnCl2-6,0.0934,80,1026.43,25.66,28.61,969.44,-5.551797783,1007.5,29.403,940,1080,21.33
95,6,PH046,MRF,31/01/2020,PRISMA,MRF 3000,T1,T2a,S7,S7_T2a,MnCl2-7,S3000T1MnCl2-7,0.1353,80,805.1,20.13,20.26,699.3,-13.14071043,726.25,22.183,680,780,21.33
96,6,PH046,MRF,31/01/2020,PRISMA,MRF 3000,T1,T2a,S8,S8_T2a,MnCl2-8,S3000T1MnCl2-8,0.193,80,599.96,15,15.67,531.65,-11.38502612,552.5,19.193,520,600,21.33
97,7,PH052,MRF,04/02/2020,PRISMA,MRF 1500,T1,T2a,S1,S1_T2a,MnCl2-1,S1500T1MnCl2-1,0.0108,80,3025.17,75.63,70.03,2493.69,-17.5686104,2616.25,52.636,2550,2750,21.75
98,7,PH052,MRF,04/02/2020,PRISMA,MRF 1500,T1,T2a,S2,S2_T2a,MnCl2-2,S1500T1MnCl2-2,0.0181,80,2185.54,54.64,62.15,2159.99,-1.169055429,2268.75,47.981,2150,2350,21.75
99,7,PH052,MRF,04/02/2020,PRISMA,MRF 1500,T1,T2a,S3,S3_T2a,MnCl2-3,S1500T1MnCl2-3,0.0282,80,1901.28,47.53,53.06,1853.78,-2.498402383,1946.625,54.446,1800,2050,21.75
100,7,PH052,MRF,04/02/2020,PRISMA,MRF 1500,T1,T2a,S4,S4_T2a,MnCl2-4,S1500T1MnCl2-4,0.0434,80,1549.98,38.75,43.64,1509.12,-2.635895626,1585.5,44.662,1480,1680,21.75
101,7,PH052,MRF,04/02/2020,PRISMA,MRF 1500,T1,T2a,S5,S5_T2a,MnCl2-5,S1500T1MnCl2-5,0.0626,80,1510.76,37.77,38.33,1271.42,-15.8421177,1338.5,35.971,1240,1400,21.75
102,7,PH052,MRF,04/02/2020,PRISMA,MRF 1500,T1,T2a,S6,S6_T2a,MnCl2-6,S1500T1MnCl2-6,0.0934,80,1026.43,25.66,30.39,979.32,-4.589371337,1032.5,31.402,980,1120,21.75
103,7,PH052,MRF,04/02/2020,PRISMA,MRF 1500,T1,T2a,S7,S7_T2a,MnCl2-7,S1500T1MnCl2-7,0.1353,80,805.1,20.13,21.33,702.68,-12.72130009,740,25.656,680,820,21.75
104,7,PH052,MRF,04/02/2020,PRISMA,MRF 1500,T1,T2a,S8,S8_T2a,MnCl2-8,S1500T1MnCl2-8,0.193,80,599.96,15,16.08,530.86,-11.51779226,559,14.548,520,580,21.75
105,7,PH052,MRF,04/02/2020,PRISMA,MRF 3000,T1,T2a,S1,S1_T2a,MnCl2-1,S3000T1MnCl2-1,0.0108,80,3025.17,75.63,66.54,2427.3,-19.76315086,2543.75,64.325,2450,2650,21.75
106,7,PH052,MRF,04/02/2020,PRISMA,MRF 3000,T1,T2a,S2,S2_T2a,MnCl2-2,S3000T1MnCl2-2,0.0181,80,2185.54,54.64,59.2,2135.15,-2.305698646,2238.75,59.521,2150,2350,21.75
107,7,PH052,MRF,04/02/2020,PRISMA,MRF 3000,T1,T2a,S3,S3_T2a,MnCl2-3,S3000T1MnCl2-3,0.0282,80,1901.28,47.53,50.23,1817.73,-4.394468772,1905.625,55.16,1760,2050,21.75
108,7,PH052,MRF,04/02/2020,PRISMA,MRF 3000,T1,T2a,S4,S4_T2a,MnCl2-4,S3000T1MnCl2-4,0.0434,80,1549.98,38.75,41.93,1488.62,-3.958975498,1562,42.169,1480,1680,21.75
109,7,PH052,MRF,04/02/2020,PRISMA,MRF 3000,T1,T2a,S5,S5_T2a,MnCl2-5,S3000T1MnCl2-5,0.0626,80,1510.76,37.77,36.34,1241.9,-17.79633839,1305.5,38.841,1200,1400,21.75
110,7,PH052,MRF,04/02/2020,PRISMA,MRF 3000,T1,T2a,S6,S6_T2a,MnCl2-6,S3000T1MnCl2-6,0.0934,80,1026.43,25.66,28.61,959.18,-6.552106507,1009.25,30.012,940,1080,21.75
111,7,PH052,MRF,04/02/2020,PRISMA,MRF 3000,T1,T2a,S7,S7_T2a,MnCl2-7,S3000T1MnCl2-7,0.1353,80,805.1,20.13,20.26,689.54,-14.35288517,725,21.465,680,800,21.75
112,7,PH052,MRF,04/02/2020,PRISMA,MRF 3000,T1,T2a,S8,S8_T2a,MnCl2-8,S3000T1MnCl2-8,0.193,80,599.96,15,15.67,526.82,-12.19055014,554.25,19.667,520,600,21.75
113,8,PH053,MRF,06/02/2020,PRISMA,MRF 1500,T1,T2a,S1,S1_T2a,MnCl2-1,S1500T1MnCl2-1,0.0108,80,3025.17,75.63,70.03,2457.95,-18.74990633,2552.5,57.313,2450,2650,21.35
114,8,PH053,MRF,06/02/2020,PRISMA,MRF 1500,T1,T2a,S2,S2_T2a,MnCl2-2,S1500T1MnCl2-2,0.0181,80,2185.54,54.64,62.15,2142.35,-1.976202937,2226.25,48.376,2150,2350,21.35
