num,session,code,sequence,date,scanner,dictionary,map,array,sphere,sphere_name_sh,NIST_name,conc,area,mean,stdv,min,max,temp
118,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T2a,S1,S1_T2a,MnCl2-1,0.0108,80,2506.25,65.301,2350,2650,21.74
119,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T2a,S2,S2_T2a,MnCl2-2,0.0181,80,2187.5,55.972,2050,2350,21.74
120,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T2a,S3,S3_T2a,MnCl2-3,0.0282,80,1860,52.095,1720,1960,21.74
121,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T2a,S4,S4_T2a,MnCl2-4,0.0434,80,1518.5,45.649,1400,1600,21.74
122,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T2a,S5,S5_T2a,MnCl2-5,0.0626,80,1267.5,37.971,1160,1360,21.74
123,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T2a,S6,S6_T2a,MnCl2-6,0.0934,80,981.25,30.414,920,1080,21.74
124,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T2a,S7,S7_T2a,MnCl2-7,0.1353,80,714.5,23.808,660,780,21.74
125,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T2a,S8,S8_T2a,MnCl2-8,0.193,80,542.75,17.645,520,600,21.74
126,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T2,T1a,S1,S1_T1a,NiCl2-1,0.29,80,1033.75,81.043,900,1300,21.74
127,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T2,T1a,S2,S2_T1a,NiCl2-2,0.6,80,735.625,46.521,650,900,21.74
128,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T2,T1a,S3,S3_T1a,NiCl2-3,1.04,80,544.375,35.573,500,600,21.74
129,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T2,T1a,S4,S4_T1a,NiCl2-4,1.64,80,413.125,28.4,350,500,21.74
130,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T2,T1a,S5,S5_T1a,NiCl2-5,2.52,80,308.5,26.004,270,400,21.74
131,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T2,T2a,S1,S1_T2a,MnCl2-1,0.0108,80,537.5,36.02,450,600,21.74
132,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T2,T2a,S2,S2_T2a,MnCl2-2,0.0181,80,341.25,29.095,290,400,21.74
133,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T2,T2a,S3,S3_T2a,MnCl2-3,0.0282,80,254.125,17.335,210,300,21.74
134,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T2,T2a,S4,S4_T2a,MnCl2-4,0.0434,80,200.5,16.831,160,240,21.74
135,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T2,T2a,S5,S5_T2a,MnCl2-5,0.0626,80,135.875,12.447,110,170,21.74
136,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T2,T2a,S6,S6_T2a,MnCl2-6,0.0934,80,95.112,7.29,76,110,21.74
137,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T2,T2a,S7,S7_T2a,MnCl2-7,0.1353,80,67.675,6.799,52,86,21.74
138,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T2,T2a,S8,S8_T2a,MnCl2-8,0.193,80,44.275,4.76,34,56,21.74
139,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T1a,S1,S1_T1a,NiCl2-1,0.29,80,1900.5,71.048,1760,2050,21.74
140,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T1a,S2,S2_T1a,NiCl2-2,0.6,80,1336.5,41.586,1280,1440,21.74
141,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T1a,S3,S3_T1a,NiCl2-3,1.04,80,945.25,44.294,860,1040,21.74
142,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T1a,S4,S4_T1a,NiCl2-4,1.64,80,664.25,31.453,580,740,21.74
143,2,PH039,MRF,30/01/2020,PRISMA,MRF 3000,T1,T1a,S5,S5_T1a,NiCl2-5,2.52,80,479.5,28.1,420,540,21.74
144,2,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T2a,S1,S1_T2a,MnCl2-1,0.0108,80,2612.825,51.082,2474,2726,21.74
145,2,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T2a,S2,S2_T2a,MnCl2-2,0.0181,80,2616.775,54.469,2466,2707,21.74
146,2,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T2a,S3,S3_T2a,MnCl2-3,0.0282,80,2144.2,40.268,2061,2228,21.74
147,2,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T2a,S4,S4_T2a,MnCl2-4,0.0434,80,1638.112,27.606,1579,1705,21.74
148,2,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T2a,S5,S5_T2a,MnCl2-5,0.0626,80,1512.25,44.303,1383,1603,21.74
149,2,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T2a,S6,S6_T2a,MnCl2-6,0.0934,80,1162.225,18.959,1126,1209,21.74
150,2,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T2a,S7,S7_T2a,MnCl2-7,0.1353,80,850,31.515,748,908,21.74
151,2,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T2a,S8,S8_T2a,MnCl2-8,0.193,80,693.725,32.079,615,742,21.74
152,2,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T1a,S1,S1_T1a,NiCl2-1,0.29,80,1867.463,42.578,1785,1966,21.74
153,2,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T1a,S2,S2_T1a,NiCl2-2,0.6,80,1537.95,48.832,1453,1665,21.74
154,2,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T1a,S3,S3_T1a,NiCl2-3,1.04,80,1100.062,24.117,1058,1149,21.74
155,2,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T1a,S4,S4_T1a,NiCl2-4,1.64,80,740,18.551,703,789,21.74
156,2,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T1a,S5,S5_T1a,NiCl2-5,2.52,80,533.337,16.674,496,577,21.74
157,3,PH040,MESE,30/01/2020,PRISMA,MESE,T2,T1a,S1,S1_T1a,NiCl2-1,0.29,80,1427.112,126.203,1269,1880,22.6
158,3,PH040,MESE,30/01/2020,PRISMA,MESE,T2,T1a,S2,S2_T1a,NiCl2-2,0.6,80,1277.013,1062.975,0,3000,22.6
159,3,PH040,MESE,30/01/2020,PRISMA,MESE,T2,T1a,S3,S3_T1a,NiCl2-3,1.04,80,1067.487,184.745,813,1615,22.6
160,3,PH040,MESE,30/01/2020,PRISMA,MESE,T2,T1a,S4,S4_T1a,NiCl2-4,1.64,80,581.087,35.682,505,716,22.6
161,3,PH040,MESE,30/01/2020,PRISMA,MESE,T2,T1a,S5,S5_T1a,NiCl2-5,2.52,80,381.7,14.493,353,423,22.6
162,3,PH040,MESE,30/01/2020,PRISMA,MESE,T2,T2a,S1,S1_T2a,MnCl2-1,0.0108,80,604.875,7.175,588,622,22.6
163,3,PH040,MESE,30/01/2020,PRISMA,MESE,T2,T2a,S2,S2_T2a,MnCl2-2,0.0181,80,414.875,5.304,400,427,22.6
164,3,PH040,MESE,30/01/2020,PRISMA,MESE,T2,T2a,S3,S3_T2a,MnCl2-3,0.0282,80,289.438,4.087,280,307,22.6
165,3,PH040,MESE,30/01/2020,PRISMA,MESE,T2,T2a,S4,S4_T2a,MnCl2-4,0.0434,80,194.863,3.129,187,204,22.6
166,3,PH040,MESE,30/01/2020,PRISMA,MESE,T2,T2a,S5,S5_T2a,MnCl2-5,0.0626,80,141.537,2.17,135,145,22.6
167,3,PH040,MESE,30/01/2020,PRISMA,MESE,T2,T2a,S6,S6_T2a,MnCl2-6,0.0934,80,98.438,1.986,94,102,22.6
168,3,PH040,MESE,30/01/2020,PRISMA,MESE,T2,T2a,S7,S7_T2a,MnCl2-7,0.1353,80,67.875,1.61,64,71,22.6
169,3,PH040,MESE,30/01/2020,PRISMA,MESE,T2,T2a,S8,S8_T2a,MnCl2-8,0.193,80,50.038,1.522,46,54,22.6
170,3,PH040,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S1,S1_T2a,MnCl2-1,0.0108,80,2625,56.254,2550,2750,22.6
171,3,PH040,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S2,S2_T2a,MnCl2-2,0.0181,80,2266.25,46.235,2150,2350,22.6
172,3,PH040,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S3,S3_T2a,MnCl2-3,0.0282,80,1953.625,49.968,1840,2050,22.6
